"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000018415","ENSMUSG00000018415","Gid4",0.0306969810655664,5.69291203143495,0.108872714684423,0.914254062527048,0.991432429581756,-6.51270796308275
"ENSMUSG00000052214","ENSMUSG00000052214","Opa3",-0.0221966929372286,6.39957795433562,-0.108794406509166,0.9143154828803,0.991432429581756,-6.81927954148294
"ENSMUSG00000047412","ENSMUSG00000047412","Zbtb44",0.0235462471274497,5.88151253186224,0.108718845853653,0.914374748757243,0.991432429581756,-6.59311351206714
"ENSMUSG00000037395","ENSMUSG00000037395","Rcor3",0.088755628094122,3.73362732381332,0.108632476789161,0.914442492814211,0.991432429581756,-5.62438974946112
"ENSMUSG00000027536","ENSMUSG00000027536","Chmp4c",0.0791064492431813,0.0263362782286671,0.108453675851218,0.914582738432817,0.991432429581756,-5.57705376259044
"ENSMUSG00000003813","ENSMUSG00000003813","Rad23a",-0.0166230756763444,7.25021458849588,-0.10840611980587,0.914620040320129,0.991432429581756,-7.03197822824135
"ENSMUSG00000035506","ENSMUSG00000035506","Slc12a8",0.0683607185633539,-0.0543613349940463,0.108381477152821,0.91463936953923,0.991432429581756,-5.7176438971325
"ENSMUSG00000024414","ENSMUSG00000024414","Mrpl27",0.0383630275135776,4.92074184861187,0.108368197902833,0.914649785547699,0.991432429581756,-6.26679780695385
"ENSMUSG00000046794","ENSMUSG00000046794","Ppp1r3b",-0.116563709319361,2.13249115733435,-0.108361245986929,0.914655238513627,0.991432429581756,-5.57436395867657
"ENSMUSG00000029524","ENSMUSG00000029524","Sirt4",-0.0699098624295416,3.37233955194322,-0.107885985351867,0.915028035109833,0.991432429581756,-5.74878209012521
"ENSMUSG00000037221","ENSMUSG00000037221","Mospd3",-0.0425117526538905,5.07147770199614,-0.107815677116457,0.915083186903716,0.991432429581756,-5.93532033058357
"ENSMUSG00000053134","ENSMUSG00000053134","Supt7l",0.0415405034676724,4.70023025465142,0.107769994879227,0.91511902159297,0.991432429581756,-6.15091633949863
"ENSMUSG00000037805","ENSMUSG00000037805","Rpl10a",0.018087977602681,7.89568686997307,0.107714829674945,0.915162295287071,0.991432429581756,-7.07527428606017
"ENSMUSG00000022787","ENSMUSG00000022787","Wdr53",-0.0452059901267625,4.20311241956859,-0.107629045689383,0.915229588056018,0.991432429581756,-5.92380479836218
"ENSMUSG00000027575","ENSMUSG00000027575","Arfgap1",-0.0202666082460672,6.64754840261865,-0.107569537615429,0.915276269213483,0.991432429581756,-6.90932907878446
"ENSMUSG00000048807","ENSMUSG00000048807","Slc35e4",-0.106820050924317,0.838433657233862,-0.107561175032377,0.91528282927361,0.991432429581756,-5.45808789320861
"ENSMUSG00000023068","ENSMUSG00000023068","Nus1",-0.0188292192524306,6.46764327946667,-0.107474276583187,0.915350997457307,0.991432429581756,-6.88881918734957
"ENSMUSG00000032952","ENSMUSG00000032952","Ap4b1",0.0683969438060078,1.4768674183447,0.107255902939468,0.915522305339738,0.991432429581756,-5.44073631992005
"ENSMUSG00000052298","ENSMUSG00000052298","Cdc42se2",-0.0238650753003782,7.72781920912097,-0.106911370508791,0.915792589693556,0.991432429581756,-6.82326906804428
"ENSMUSG00000006740","ENSMUSG00000006740","Kif5b",0.0174431115167009,7.96635359432869,0.106795165772072,0.915883754202244,0.991432429581756,-7.05375540868915
